user_name,date,tweet_id,text,hashtags
Nancy Pelosi,Thu May 16 13:22:16 +0000 2019,1129014203166142465,"This clear and intentional violation of the Constitution directly imperils the health of countless women, and cannot be allowed to stand.",[None]
Nancy Pelosi,Thu May 16 13:22:16 +0000 2019,1129014202490920960,Every woman has the right to basic reproductive health care – yet Republicans have trampled over a long-standing constitutional right in their haste to push a radical anti-woman agenda.,[None]
Nancy Pelosi,Thu May 16 13:22:16 +0000 2019,1129014201643675648,"Alabama’s new law is heartbreaking. Imprisoning doctors and punishing women over access to vital, legal medical care is a staggering violation of both basic morality and constitutional rights.",[None]
Nancy Pelosi,Thu May 16 00:24:00 +0000 2019,1128818343677485058,"Every day, police officers nationwide go to work serving our communities. Today, we took a moment during #PoliceWeek2019 to thank them for their service, and honor all who gave their lives or were injured while performing their duties. https://t.co/9o7ICNZ9TZ",[['PoliceWeek2019']]
Nancy Pelosi,Wed May 15 23:08:17 +0000 2019,1128799291974270978,.@RepWilson has dedicated her life to lifting up black men &amp; boys. I applaud her leadership in introducing the Commission on the Social Status of Black Men &amp; Boys Act as we fight to end social and racial injustices in our country. #BlackMenAndBoysAct,[['BlackMenAndBoysAct']]
Nancy Pelosi,Wed May 15 22:31:33 +0000 2019,1128790044196659200,"Tune in as @RepCicilline of Rhode Island and @SarahEMcBride of @HRC sit down to discuss H.R. 5, the Equality Act, and answer your questions during this week’s #TownhallForThePeople! https://t.co/tu1zCe1Qtp",[['TownhallForThePeople']]
Nancy Pelosi,Wed May 15 19:10:35 +0000 2019,1128739472533798914,"American families need lower Rx drug prices &amp; quality health care, not a ‘grim reaper’ in the Senate blocking progress. Democrats continue our fight to defend Americans’ right to health care &amp; demand @SenateMajLdr bring critical legislation to the floor. https://t.co/RE7XKVQ6Iq",[None]
Nancy Pelosi,Wed May 15 18:53:27 +0000 2019,1128735159908470786,".@SenateMajLdr must stop standing in the way of critical legislation that lowers Rx prices &amp; protects health care. Today at 3 pm E.T. Democrats will come together to stand up for the American people and their right to quality, affordable health care. https://t.co/rFd2fqW3Qv",[None]
Nancy Pelosi,Wed May 15 16:03:13 +0000 2019,1128692316926087168,Just a few more hours until tonight’s #TownhallForThePeople on the #EqualityAct. Be sure to reply with your questions! https://t.co/UvJxFOBswE,"[['TownhallForThePeople', 'EqualityAct']]"
Nancy Pelosi,Wed May 15 01:37:13 +0000 2019,1128474382840598529,"Alice Rivlin was a trailblazer. As the first person to lead the @USCBO, she set the standard on how economic &amp; budgetary analysis should be conducted to assist lawmakers in making policy. Her leadership at the Clinton OMB &amp; at the Federal Reserve only cemented her influence.",[None]
Nancy Pelosi,Tue May 14 23:04:09 +0000 2019,1128435862738546688,Want to enter a question to be answered by @RepCicilline and @SarahEMcBride during tomorrow’s #TownhallForThePeople on the #EqualityAct? Reply below! https://t.co/T9f0FPl2nz,"[['TownhallForThePeople', 'EqualityAct']]"
Nancy Pelosi,Tue May 14 21:39:09 +0000 2019,1128414469435080704,Trump. Barr. McConnell. They all have shown that their true allegiance lies with the special interests – not the American people. https://t.co/J51KYmCujc,[None]
Nancy Pelosi,Tue May 14 20:23:01 +0000 2019,1128395312035454977,No American should face discrimination for who they are or who they love. It’s time to make the #EqualityAct the law of the land! https://t.co/syqyEWjW2P,[['EqualityAct']]
